idAccounts,AccountRef,AccountName,Description,AccountOwner,Currency,AccountType,BananaCode,Source,SourceRef,Follow,ShapeShift
2694,0xCaa00a08005893c47EB7d5b781b1384644d6c09cCopy,"Bitstamp Deposit Address","Davids Bitstamp Deposit Address",2,ETH,Wallet,NULL,NULL,NULL,Y,
2695,0x793C64E8D1c70DD1407Bca99C8A97eA8eb662ECc,"Offline MEW Wallet","Kevins offline wallet MEW using JSON keystore file",3,ETH,Wallet,NULL,MEW,NULL,Y,
2696,0xEf1a95d5b38c845DbDA59C9012B0EEdD7F06f974,0xEf1a95,"William Medcalfs wallet MEW using JSON keystore file",14,ETH,Wallet,NULL,MEW,NULL,Y,
2697,0x0466cf48df4b826272f591c89934720aa7ade8c4Copy,"Bitstamp ETH Deposit","Kevins Bitstamp deposit contract address",3,ETH,Wallet,NULL,NULL,NULL,Y,
2698,0x93a44c99642a02fc4e62a97e13c703932682db36,"Post Split","Richards post split account used in both ETH and ETC",1,ETH,Wallet,NULL,NULL,NULL,Y,Output
2699,0x35b15810052d5961d47d957f9713f5872333484a,0x35b158,"Mist wallet Created 2017-04-10 by geth. Never used",2,ETH,Wallet,NULL,Mist,NULL,Y,
2700,0x6090a6e47849629b7245dfa1ca21d94cd15878ef,"ENS Registrar","ENS Registrar",15,ETH,Wallet,NULL,NULL,NULL,Y,
2701,0x314159265dd8dbb310642f98f50c066173c1259b,"ENS EthNameService","ENS EthNameService",15,ETH,Wallet,NULL,NULL,NULL,Y,
2702,0x49edf201c1e139282643d5e7c6fb0c7219ad1db7,"Tokencard contribution address","Tokencard contribution address",18,ETH,Wallet,NULL,NULL,NULL,Y,
2703,0xAA1A6e3e6EF20068f7F8d8C835d2D22fd5116444,ReplaySafeSplit,ReplaySafeSplit,17,ETH,Wallet,NULL,ReplaySafe,NULL,Y,
2704,0x307da0b5c25166e79fa03b11a632fd7060909395,"blur august","ETC to ETH",1,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2705,0x6161690070971e03d0656a1958156019f5e32873,0x616169,"Peter Kjellins Address",16,ETH,Wallet,NULL,NULL,NULL,N,
2706,0x61c18a0130891ce82b33fac932dab680e3c391c9,0x61c18a,"Transfer to Kraken",2,ETH,Wallet,NULL,NULL,NULL,Y,
2707,0xFa52274DD61E1643d2205169732f29114BC240b3,Kraken,Kraken,20,ETH,Wallet,NULL,NULL,NULL,Y,
2708,0xeb40799961a86c21a0923e56df019ba39edb3741,ReplaySafeSplit,"ETC Steves ReplaySafeSplit destination address for ETC",5,ETH,Wallet,NULL,ReplaySafe,NULL,Y,
2709,0x8890a4a9347bF4D1472ccc00800122Bf54d12E8e,"blur august","ETC JaxxR1 ETC to ETH",1,ETC,Wallet,NULL,Jaxx,NULL,Y,
2710,0x9BcB0733C56B1D8F0c7c4310949E00485cAe4E9d,0x9BcB07,"ETC Contract address Exchange?",2,ETH,Wallet,NULL,NULL,NULL,Y,
2711,0x9fDedBD4458bd05E30154348E0FDbAB39F69c6ff,0x9fDedB,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2712,0x084f0xbFad32E1b4239402Bd8A98043DdE44F7B7246B70,0x084f0x,"ETC Shapeshift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,Y,
2713,0x8FF552C335eD55E59c100C95FE1573145DFCfcE7,"cupboard canvas","Davids ETC JaxxD1",2,ETC,Wallet,,Jaxx,NULL,Y,
2714,0x59e330ad94291a245F95178bE7891e16bb8c30b3,"grunt mirror","ETC to ETH",2,ETC,Wallet,NULL,Jaxx,NULL,Y,
2715,0x084FAd44b3d24C4a6CE733bCF4D03ab4aa7aa0A5,0x084FAd,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2716,0x346B7e801E5FabfBD030075Aef37B297143e8B63,0x346B7e,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2717,0x139114ed06b29f5FB18bf2BB952274e4d5554dff,"recipe shoe","ETC to ETH",2,ETC,Wallet,NULL,Jaxx,NULL,Y,
2718,0x374a3648be0e3dd343d52e16a6cfef8bd57d861c,"beyond dismiss","ETC to ETH",2,ETC,Wallet,NULL,Jaxx,NULL,Y,
2719,0x85a9962fbc35549afec891c285b3fe057ec334cc,0x85a996,"ShapeShift deposit",4,ETC,Wallet,NULL,Shapeshift,NULL,N,Input
2720,0x18bd854bec9d38d52193fbe1a0416d3f01592f5f,0x18bd85,"ShapeShift deposit",4,ETC,Wallet,NULL,Shapeshift,NULL,N,Input
2721,0xdf77230c12a943471286a9f35f8ae86a9a2326c4,"beyond dismiss","ETC to ETH",2,ETC,Wallet,NULL,Jaxx,NULL,Y,
2722,0x8837234B8d27cF4aBDaE353264F45c8866631ED5,,"Some ETC exchange",NULL,ETH,,NULL,NULL,NULL,N,
2723,0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,,"ShapeShift Resolved Issue",4,ETH,,NULL,Shapeshift,NULL,N,
2724,0x120A270bbC009644e35F0bB6ab13f95b8199c4ad,0x120A27,"ShapeShift BTC to ETH Withdrawal",4,ETH,Wallet,NULL,Shapeshift,NULL,Y,
2725,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,,"ShapeShift Withdrawal",4,ETH,,NULL,Shapeshift,NULL,N,
2726,0x62D8E8bdbde3659F3811BA5223A9A66e0c598755,"Ledger Wallet","Ledger Wallet",2,ETH,Wallet,NULL,Ledger,NULL,Y,Output
2727,0xdF73B13346750e469dA6B0F7bfEE7Fda11F8063E,0xdF73B1,"JaxxR2 ETC to ETH",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2728,0x02c32254a4229499842f5803befd520fa781e0d8,"Bitstamp withdraw","Bitstamp withdraw",2,ETC,Wallet,NULL,Shapeshift,NULL,Y,
2729,0x03977526e6d6c0849d08716570c2e4e80187bdf9,0x039775,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2730,0x03ceb1ccbfcc75afdfd8c1418ba54d781120b05e,0x03ceb1,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2731,0x06ebbd81ac4cdacbe8fe5e996f4a44ace10f5059,"cupboard canvas","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2732,0x0762a7f1e92f79d3f110b68b50fa0cdf325db6c1,0x0762a7,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2733,0x0a8b2b2f0d1606ce173b6bc59c52a73a58209669,0x0a8b2b,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2734,0x0cc519a5dd3235e718f064db1312702cd5209ce9,0x0cc519,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2735,0x0d6030d968e09cadfb640b313c51cfe1d8727fda,0x0d6030,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2736,0x0dcb7adb483be8927c663511a2083402698f53ba,0x0dcb7a,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2737,0x0e3ef8a540aa2d036f70cf937fba235e8eec9735,0x0e3ef8,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2738,0x10e3ff51d56f284a9bd2f1d26d64046c318410ac,0x10e3ff,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2739,0x115dd62cea4bdaede833ba86843e85c2a223cae4,0x115dd6,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2740,0x12ceea4cdac476121e9846cbfe5a8b52f81b324a,0x12ceea,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2741,0x130e45ec67f121f7618fcd1beab9759d008bfbf9,0x130e45,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2742,0x14fb72e48719b7fbda1a5eb73dbf2def4eb60bff,0x14fb72,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2743,0x1603e5bf643725a20e0a1820b117c1c5a6bada59,0x1603e5,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2744,0x160535d531c22e1941e7f48bc43f7b4ff2e63855,0x160535,"ShapeShift error",4,ETH,Wallet,NULL,Shapeshift,NULL,Y,
2745,0x1843c9787e4a0d529aa3f19470f6e8741b798d4e,"cupboard canvas","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2746,0x187acc13465e99b672fab4c593dd7e4c34ce8793,0x187acc,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2747,0x18a48721ad0ab348fa50a73789a1affd0b6ada80,"cupboard canvas","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2748,0x18ff7c7fdbee4a2715def95ef0df477823ef6c21,0x18ff7c,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2749,0x1955a237bb27b9511d3810dd46406340430cdc88,0x1955a2,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2750,0x19e31df483baf4ad78229bf1fce63aa08f9f4cd7,"recipe shoe","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2751,0x1acbcc881b71aaba88d964de74bde54297227778,0x1acbcc,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2752,0x1b945dcba89c84717ca66b64f3d0614413b327e3,0x1b945d,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2753,0x1ca9bd200f81a82b5ac177bc3f822767735d0a9b,0x1ca9bd,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2754,0x1dacdf150cbc8a5f68e8c218206c68fb90d8aca2,"recipe shoe","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2755,0x1e1cfe37b37d3246b179f7e3f6bc4ec92369247a,0x1e1cfe,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2756,0x1e5a98df57e0cc7cd59cd86d42b4e65d9ef8014e,0x1e5a98,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2757,0x1f5b6e87977d87124e9bbcdafced89240ce8d43b,0x1f5b6e,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2758,0x1fccce574522de4fc2c076f1fdc9e202ac4c7f89,"grunt mirror","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2759,0x2008a149af0e287bd7b489a07e619aef84dc2f56,0x2008a1,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2760,0x23add6ee0e863e21fa65c54a3400542e6789bb40,0x23add6,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2761,0x249e133c6bf1a8ec3d078ca7020cf899623cc662,"cupboard canvas","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2762,0x265c48c86960458183f2ec56b4aefbda52565327,"grunt mirror","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2763,0x29aa346d7fef993db6db9b44140c981eae262a9d,0x29aa34,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2764,0x29dea5b5a74cd8b45e939028d378eafef9647588,0x29dea5,"ShapeShift ETH deposit resolved",4,ETH,Wallet,NULL,Shapeshift,NULL,Y,
2765,0x2a2f958f44b1f1be37f7a1878c5660a363fee147,"recipe shoe","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2766,0x2d169bc68c8f310057c7f85c111b61581899bcd0,0x2d169b,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2767,0x2d3f1d85a9fde73cb8ba4e2da5ce50eb9f9af045,"recipe shoe","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2768,0x2df81b43d0c36c56493dca3d581f692438a4544c,"grunt mirror","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2769,0x2e0151efb3951ec4b171a2e9748b1af0c8367ee1,0x2e0151,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2770,0x2e8ef7130976ff4b27e17c0d701d2db76ce63b41,0x2e8ef7,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2771,0x2fe95c7071122a03756a4bfd42fcb420d79f8c3f,0x2fe95c,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2772,0x336fe54d06e8b68d07fe8d0fd0cf056e12cdbd0d,0x336fe5,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2773,0x34492d619a89a123c8d1544de901ff01c4f00be9,"recipe shoe","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2774,0x344d3e2dfd2527238334adb74a0a5016779e44b3,"grunt mirror","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2775,0x34d05e6cf215c50478cf215dd797fabf97b19c07,"cupboard canvas","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2776,0x34df9eeebc7bbc7fc98b466c29a002fb027f9cb6,0x34df9e,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2777,0x3773d3e0bb2c55288546bfc2fb104f5c4fc7bbdf,"grunt mirror","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2778,0x3825b8ba99d7bad30bf1fdc1ba45f4648b36aa4a,0x3825b8,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2779,0x3ab160f85c86a7abf1cda96bffd0aa46b127c6ef,0x3ab160,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2780,0x3ad0c75f733ebda9be2cf0c59725a2ae6390d22b,0x3ad0c7,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2781,0x3aef599e5e97d38d26c803c4af92d02f7d35eb6c,0x3aef59,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2782,0x3b758aa61520828826598a600f048852aeafe4cc,0x3b758a,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2783,0x3b920fda2fc42bf13ac872d3f2e776988d6511a2,"cupboard canvas","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2784,0x3c53b884200f73cb15b2d139f37ed8afc60df30e,0x3c53b8,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2785,0x3c9073a3941f579b3e25e9368618691c274bd8ed,0x3c9073,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2786,0x3f84030b8459357774ae59aa7eac4617203d35dc,0x3f8403,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2787,0x416482bd8008edb84f92b7f1038645591fd294af,0x416482,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2788,0x41e06d48ff25224bc8a8119f9deb34cadadf5ac5,0x41e06d,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2789,0x43382dc83b62566980a67d528b646063a15de2e0,"grunt mirror","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2790,0x43e0634b692813af206f4c885a7f20ce985ecb9f,0x43e063,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2791,0x46c167d146d2204aca04ddab0bb2b30f225547e7,0x46c167,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2792,0x48b1491739757feda672b29dedf6db6b8a60b3f9,0x48b149,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2793,0x4965759f81d9d2b754e92078a67b380190fe333d,0x496575,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2794,0x4a11bad06f1c6ae02fca539ac86042e5d163b7a6,0x4a11ba,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2795,0x4ac13dc38cef4728f7250643709bc97a9b1bfe2c,0x4ac13d,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2796,0x4aced1b7a905a474a716da1bd929fbf555325e1f,0x4aced1,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2797,0x4b4dc94dc64455ae31ab0d42276b991c462dff08,0x4b4dc9,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2798,0x4c23334726b3d1593a97c49c5b68b51a6b597fc7,0x4c2333,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2799,0x4c7ded1ccf107fadb96cf07845aa043eb95a8c7d,0x4c7ded,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2800,0x4deeabba158d5a72a600edb9b6509c414edcf341,0x4deeab,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2801,0x4f2298d2eda85b1de9d8ffb29605c07a68e7d6f1,0x4f2298,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2802,0x50667cea3ef7603de3cfc2b19232cdf2fe4cddfa,0x50667c,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2803,0x507e42ce67eb2f82f4142e5c33c49338225b98c0,0x507e42,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2804,0x50bfc3a0a028605ceaf874bb17419bff511e0dba,0x50bfc3,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2805,0x50cedd64aea9470ec8e3fee72a4edbff39ae9958,"grunt mirror","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,
2806,0x518336e61abc543e92782f67b5727c3f42b3de87,0x518336,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2807,0x53323ceda41fb3c30442e062bba7e993116842d5,0x53323c,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2808,0x53dfa52d4824878d9a29a5176a046639027c4a92,0x53dfa5,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2809,0x541e5f756d1d6a7d897a1b59b7f430d8aaf0e8d9,0x541e5f,"ShapeShift error",4,ETH,Wallet,NULL,Shapeshift,NULL,Y,
2810,0x5474fca34e34366b1cb7d059ba416fe97f77ebc9,0x5474fc,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
2811,0x549735a600853f4f3cd6bb99c247c608f8612fa3,0x549735,"ShapeShift deposit",4,ETH,Wallet,NULL,Shapeshift,NULL,N,Input
